id,name
1,Segmentation
2,Taking Out
3,Local Quality
4,Asymmetry
5,Merging
6,Universality
7,Nesting
8,Anti-weight
9,Preliminary Anti-action
10,Preliminary Action
11,In-advance Cushioning
12,Equipotentiality
13,The Other Way Around
14,Spheroidality and Curvature
15,Dynamization
16,Partial or Excessive Actions
17,Transition to Another Dimension
18,Mechanical Vibration
19,Periodic Action
20,Continuity of Useful Action
21,Skipping
22,Blessing in Disguise
23,Feedback
24,Intermediary
25,Self-service
26,Copying
27,Cheap Short-living Objects
28,Mechanics Substitution
29,Pneumatics and Hydraulics
30,Flexible Shells and Thin Films
31,Porous Materials
32,Color Changes
33,Homogeneity
34,Discarding and Recovering
35,Parameter Changes
36,Phase Transitions
37,Thermal Expansion
38,Strong Oxidants
39,Inert Atmosphere
40,Composite Materials
